Model,MAE,RMSE,MAPE
ARIMA/SARIMA,691.6423957065058,907.9743588780036,30.2133336120324
Random Forest,62.93288244766502,85.5579839833534,2.982821698978272
Gradient Boosting,69.08463352722842,92.16611800453045,3.2681574179162385
