Feature,Importance
lag1,0.7928873076823373
lag2,0.11979068074403837
lag7,0.035748268635807885
rolling_mean_14,0.018482236724723402
dayofyear,0.011021036446329558
lag3,0.008394631767734894
lag14,0.008206813257085463
rolling_mean_7,0.00371148297371982
dayofweek,0.0008256570515299486
lag30,0.00025913558416644673
year,0.0002440138306960722
rolling_std_7,0.0002005909856807623
quarter,0.0001258095583174742
month,0.00010233475783276825
