Feature,Importance
lag1,0.6743033730036259
lag2,0.1522207294838302
rolling_mean_7,0.06464789303677851
lag3,0.05489359680300232
lag7,0.023630952578840524
rolling_mean_14,0.02024064662259567
lag14,0.005246021196988608
dayofyear,0.0030504975302974974
month,0.0005335117284486955
dayofweek,0.0004389043318343659
lag30,0.00040166748695237315
rolling_std_7,0.0003300193948283764
year,3.670541831907163e-05
quarter,2.548138365809448e-05
